,u,v,j,i,X,Y,Z
8,316.11243,169.8316,8,0,4.0,0.0,4
9,252.43382,171.41495,8,-2,4.0,-1.0,4
10,188.39647,172.24673,8,-4,4.0,-2.0,4
13,511.0196,228.97235,6,6,3.0,3.0,4
14,443.128,230.0421,6,4,3.0,2.0,4
15,377.22787,231.87198,6,2,3.0,1.0,4
16,313.00024,233.95456,6,0,3.0,0.0,4
17,250.02904,236.08597,6,-2,3.0,-1.0,4
18,187.11394,237.55801,6,-4,3.0,-2.0,4
19,122.55751,238.0123,6,-6,3.0,-3.0,4
20,509.0545,294.28506,4,6,2.0,3.0,4
21,578.2758,293.52155,4,8,2.0,4.0,4
23,440.88895,295.0635,4,4,2.0,2.0,4
25,374.27817,296.24136,4,2,2.0,1.0,4
26,310.062,298.15707,4,0,2.0,0.0,4
27,246.98042,300.17712,4,-2,2.0,-1.0,4
28,185.14339,302.23892,4,-4,2.0,-2.0,4
29,122.22056,303.3444,4,-6,2.0,-3.0,4
30,439.0323,360.9986,2,4,1.0,2.0,4
31,507.77167,360.78857,2,6,1.0,3.0,4
32,577.936,361.0469,2,8,1.0,4.0,4
33,372.24295,361.90024,2,2,1.0,1.0,4
35,307.3387,363.10318,2,0,1.0,0.0,4
36,243.53569,364.4333,2,-2,1.0,-1.0,4
38,182.99394,366.8901,2,-4,1.0,-2.0,4
39,121.25279,368.3864,2,-6,1.0,-3.0,4
40,370.87137,428.13858,0,2,0.0,1.0,4
41,437.8139,427.91852,0,4,0.0,2.0,4
42,506.8884,427.92764,0,6,0.0,3.0,4
43,306.0,429.11707,0,0,0.0,0.0,4
44,577.84406,428.80835,0,8,0.0,4.0,4
45,242.25388,430.1617,0,-2,0.0,-1.0,4
47,179.49141,431.24387,0,-4,0.0,-2.0,4
48,119.30391,433.31424,0,-6,0.0,-3.0,4
50,54.269318,434.09555,0,-8,0.0,-4.0,4
51,240.97565,496.28613,-2,-2,-1.0,-1.0,4
52,304.7969,495.9529,-2,0,-1.0,0.0,4
53,370.00958,495.76538,-2,2,-1.0,1.0,4
54,437.1164,495.7965,-2,4,-1.0,2.0,4
55,506.25345,496.21082,-2,6,-1.0,3.0,4
56,178.36682,497.13913,-2,-4,-1.0,-2.0,4
57,116.61839,498.37646,-2,-6,-1.0,-3.0,4
