x,y,z,Xcam0,Ycam0,Xcam1,Ycam1,Xcam2,Ycam2,Xcam3,Ycam3
12,-16,-8,756.3922948,606.4530141,995.0473586,509.4558788,812.1642239,347.6646843,950.2947515,434.2992127
12,-12,-8,763.2132258,685.4449421,989.5764477,589.6806661,805.039333,430.1767169,956.0143614,518.170892
12,-8,-8,770.0763751,764.925794,984.0710129,670.4117062,797.9590945,512.1716366,961.6974167,601.5065398
12,-4,-8,776.9821361,844.900123,978.5307266,751.6538063,790.9230902,593.6542893,967.3442668,684.3112784
12,0,-8,783.9309068,925.3725393,972.9552566,833.4118347,783.9309068,674.6294607,972.9552566,766.5901653
12,4,-8,790.9230902,1006.347711,967.3442668,915.6907216,776.9821361,755.101877,978.5307266,848.3481937
12,8,-8,797.9590945,1087.830363,961.6974167,998.4954602,770.0763751,835.076206,984.0710129,929.5902938
12,12,-8,805.039333,1169.825283,956.0143614,1081.831108,763.2132258,914.5570579,989.5764477,1010.321334
12,16,-8,812.1642239,1252.337316,950.2947515,1165.702787,756.3922948,993.5489859,995.0473586,1090.546121
12,20,-8,819.3341912,1335.371369,944.5382332,1250.115686,749.613194,1072.056488,1000.484069,1170.269403
12,24,-8,826.549664,1418.932412,938.7444481,1335.075061,742.8755395,1150.084006,1005.8869,1249.495866
12,28,-8,833.8110767,1503.025477,932.9130332,1420.586236,736.1789527,1227.635929,1011.256166,1328.230142
12,32,-8,841.1188697,1587.655663,927.0436207,1506.654603,729.5230589,1304.716592,1016.592179,1406.476801
16,-32,-8,805.5099791,311.8744641,1096.02124,176.1846731,920.6093181,-0.843501586,1010.325131,107.1662856
16,-28,-8,812.3758641,388.7639308,1090.915589,254.6288531,913.073223,83.55149539,1015.942914,193.4789515
16,-24,-8,819.283594,466.1220107,1085.778018,333.5634564,905.5848009,167.4126128,1021.524206,279.2309708
16,-20,-8,826.2335528,543.9530012,1080.608226,412.9930965,898.1436009,250.7449006,1027.069362,364.4277882
16,-16,-8,833.2261287,622.2612519,1075.405911,492.9224451,890.7491778,333.5533452,1032.578732,449.0747785
16,-12,-8,840.2617151,701.0511662,1070.170763,573.3562325,883.4010919,415.8428708,1038.052661,533.177247
16,-8,-8,847.3407099,780.3272018,1064.902471,654.2992493,876.0989088,497.6183396,1043.49149,616.7404311
16,-4,-8,854.4635162,860.0938716,1059.60072,735.7563467,868.8422,578.8845538,1048.895555,699.7695013
16,0,-8,861.6305419,940.3557445,1054.265189,817.7324379,861.6305419,659.6462555,1054.265189,782.2695621
16,4,-8,868.8422,1021.117446,1048.895555,900.2324987,854.4635162,739.9081284,1059.60072,864.2456533
16,8,-8,876.0989088,1102.38366,1043.49149,983.2615689,847.3407099,819.6747982,1064.902471,945.7027507
16,12,-8,883.4010919,1184.159129,1038.052661,1066.824753,840.2617151,898.9508338,1070.170763,1026.645767
16,16,-8,890.7491778,1266.448655,1032.578732,1150.927222,833.2261287,977.7407481,1075.405911,1107.079555
16,20,-8,898.1436009,1349.257099,1027.069362,1235.574212,826.2335528,1056.048999,1080.608226,1187.008903
16,24,-8,905.5848009,1432.589387,1021.524206,1320.771029,819.283594,1133.879989,1085.778018,1266.438544
16,28,-8,913.073223,1516.450505,1015.942914,1406.523049,812.3758641,1211.238069,1090.915589,1345.373147
16,32,-8,920.6093181,1600.845502,1010.325131,1492.835714,805.5099791,1288.127536,1096.02124,1423.817327
20,-32,-8,881.0234883,328.3601674,1175.961068,158.7326395,999.5793881,-13.94699343,1094.170286,121.0786997
20,-28,-8,888.0966184,405.0593197,1171.088861,237.3752655,991.8181263,70.21407626,1099.532899,207.6370065
20,-24,-8,895.2127215,482.2244605,1166.186096,316.5111462,984.1058024,153.8444778,1104.860562,293.631181
20,-20,-8,902.3721906,559.8598492,1161.252482,396.1449368,976.4419548,236.9492147,1110.153616,379.06672
20,-16,-8,909.5754231,637.9697977,1156.28773,476.2813513,968.8261279,319.5332273,1115.412395,463.9490496
20,-12,-8,916.8228216,716.5586706,1151.291542,556.9251633,961.2578718,401.6013947,1120.637234,548.2835256
20,-8,-8,924.1147935,795.630886,1146.26362,638.0812073,953.7367423,483.1585351,1125.828458,632.0754348
20,-4,-8,931.4517514,875.1909168,1141.203659,719.754379,946.2623003,564.2094066,1130.986392,715.3299965
20,0,-8,938.8341127,955.2432912,1136.111354,801.949637,938.8341127,644.7587088,1136.111354,798.052363
20,4,-8,946.2623003,1035.792593,1130.986392,884.6720035,931.4517514,724.8110832,1141.203659,880.247621
20,8,-8,953.7367423,1116.843465,1125.828458,967.9265652,924.1147935,804.371114,1146.26362,961.9207927
20,12,-8,961.2578718,1198.400605,1120.637234,1051.718474,916.8228216,883.4433294,1151.291542,1043.076837
20,16,-8,968.8261279,1280.468773,1115.412395,1136.05295,909.5754231,962.0322023,1156.28773,1123.720649
20,20,-8,976.4419548,1363.052785,1110.153616,1220.93528,902.3721906,1040.142151,1161.252482,1203.857063
20,24,-8,984.1058024,1446.157522,1104.860562,1306.370819,895.2127215,1117.77754,1166.186096,1283.490854
20,28,-8,991.8181263,1529.787924,1099.532899,1392.364993,888.0966184,1194.94268,1171.088861,1362.626734
20,32,-8,999.5793881,1613.948993,1094.170286,1478.9233,881.0234883,1271.641833,1175.961068,1441.26936
24,-32,-8,956.0679968,344.7434811,1256.416606,141.1680191,1078.034173,-26.96498407,1178.58483,135.0855921
24,-28,-8,963.345665,421.2531955,1251.780972,220.0100222,1070.050833,56.96341039,1183.688678,221.8908927
24,-24,-8,970.6674109,498.2262951,1247.116168,299.3481356,1062.117669,140.3643195,1188.75915,308.1285426
24,-20,-8,978.033636,575.6670025,1242.421919,379.1870567,1054.234208,223.2427006,1193.796573,393.804092
24,-16,-8,985.4447469,653.5795917,1237.697944,459.5315425,1046.399984,305.603449,1198.801268,478.9230185
24,-12,-8,992.9011551,731.9683889,1232.94396,540.3864103,1038.614539,387.4513989,1203.773554,563.4907291
24,-8,-8,1000.403277,810.8377736,1228.159681,621.7565388,1030.877416,468.7913249,1208.713743,647.512561
24,-4,-8,1007.951535,890.1921788,1223.344816,703.6468691,1023.18817,549.627942,1213.622147,730.9937824
24,0,-8,1015.546355,970.0360925,1218.499071,786.0624057,1015.546355,629.9659075,1218.499071,813.9395943
24,4,-8,1023.18817,1050.374058,1213.622147,869.0082176,1007.951535,709.8098212,1223.344816,896.3551309
24,8,-8,1030.877416,1131.210675,1208.713743,952.489439,1000.403277,789.1642264,1228.159681,978.2454612
24,12,-8,1038.614539,1212.550601,1203.773554,1036.511271,992.9011551,868.0336111,1232.94396,1059.61559
24,16,-8,1046.399984,1294.398551,1198.801268,1121.078981,985.4447469,946.4224083,1237.697944,1140.470457
24,20,-8,1054.234208,1376.759299,1193.796573,1206.197908,978.033636,1024.334998,1242.421919,1220.814943
24,24,-8,1062.117669,1459.63768,1188.75915,1291.873457,970.6674109,1101.775705,1247.116168,1300.653864
24,28,-8,1070.050833,1543.03859,1183.688678,1378.111107,963.345665,1178.748805,1251.780972,1379.991978
24,32,-8,1078.034173,1626.966984,1178.58483,1464.916408,956.0679968,1255.258519,1256.416606,1458.833981
-24,-32,-4,67.17376637,98.72876645,278.4406703,304.6618265,147.6326311,174.2915249,153.6788627,10.05574413
-24,-28,-4,71.96493628,177.7479628,270.9975279,381.3403812,142.3554902,261.3256822,161.8466522,94.19954428
-24,-24,-4,76.78637367,257.2663509,263.5091341,458.4851112,137.1130002,347.7883527,169.9629048,177.8124164
-24,-20,-4,81.63836628,337.288676,255.975075,536.1002808,131.904821,433.6851469,178.0281067,260.8993696
-24,-16,-4,86.52120547,417.8197439,248.3949316,614.1902062,126.7306168,519.021602,186.0427382,343.4653505
-24,-12,-4,91.43518636,498.8644215,240.7682798,692.7592569,121.5900563,603.8031829,194.0072733,425.5152436
-24,-8,-4,96.38060781,580.4276381,233.0946903,771.8118559,116.4828124,688.0352841,201.9221803,507.0538726
-24,-4,-4,101.3577725,662.5143863,225.3737283,851.3524811,111.4085623,771.7232302,209.7879216,588.0860013
-24,0,-4,106.3669872,745.1297228,217.604954,931.3856655,106.3669872,854.8722772,217.604954,668.6163345
-24,4,-4,111.4085623,828.2787698,209.7879216,1011.915999,101.3577725,937.4876137,225.3737283,748.6495189
-24,8,-4,116.4828124,911.9667159,201.9221803,1092.948127,96.38060781,1019.574362,233.0946903,828.1901441
-24,12,-4,121.5900563,996.1988171,194.0072733,1174.486756,91.43518636,1101.137578,240.7682798,907.2427431
-24,16,-4,126.7306168,1080.980398,186.0427382,1256.536649,86.52120547,1182.182256,248.3949316,985.8117938
-24,20,-4,131.904821,1166.316853,178.0281067,1339.10263,81.63836628,1262.713324,255.975075,1063.901719
-24,24,-4,137.1130002,1252.213647,169.9629048,1422.189584,76.78637367,1342.735649,263.5091341,1141.516889
-24,28,-4,142.3554902,1338.676318,161.8466522,1505.802456,71.96493628,1422.254037,270.9975279,1218.661619
-24,32,-4,147.6326311,1425.710475,153.6788627,1589.946256,67.17376637,1501.273234,278.4406703,1295.340173
-20,-32,-4,147.803763,116.4991796,353.6277171,288.09101,232.2382257,160.0936528,232.287864,23.24731325
-20,-28,-4,152.8324791,195.3182875,346.3898057,364.9596832,226.7012161,246.879653,240.2328075,107.6248681
-20,-24,-4,157.8928602,274.6337058,339.1077522,442.2971577,221.200441,333.0977197,248.1274565,191.4682815
-20,-20,-4,162.9852063,354.450137,331.7811516,520.1077355,215.735546,418.7534095,255.9722872,274.7826092
-20,-16,-4,168.1098212,434.7723433,324.4095939,598.3957709,210.3061812,503.8522069,263.7677695,357.5728437
-20,-12,-4,173.2670126,515.6051474,316.9926639,677.1656721,204.9120011,588.3995252,271.5143676,439.8439148
-20,-8,-4,178.4570921,596.9534336,309.5299415,756.4219018,199.5526648,672.4007079,279.21254,521.6006905
-20,-4,-4,183.6803754,678.8221486,302.0210013,836.1689778,194.2278359,755.8610297,286.8627394,602.8479783
