,u,v,j,i,X,Y,Z
2,344.5518,160.82347,12,0,6.0,0.0,3
3,412.01868,162.86594,12,2,6.0,1.0,3
4,545.10254,163.09763,12,6,6.0,3.0,3
5,478.95535,164.09116,12,4,6.0,2.0,3
7,207.89035,226.81479,10,-4,5.0,-2.0,3
8,277.9759,229.056,10,-2,5.0,-1.0,3
9,346.94855,232.33821,10,0,5.0,0.0,3
10,414.04556,233.96915,10,2,5.0,1.0,3
11,479.766,234.95924,10,4,5.0,2.0,3
12,609.6479,234.80508,10,8,5.0,4.0,3
13,544.91907,235.9729,10,6,5.0,3.0,3
15,210.98712,297.28766,8,-4,4.0,-2.0,3
16,281.93576,300.0655,8,-2,4.0,-1.0,3
17,350.07388,301.95294,8,0,4.0,0.0,3
18,416.24677,303.3024,8,2,4.0,1.0,3
19,481.82285,304.9591,8,4,4.0,2.0,3
20,545.187,305.04904,8,6,4.0,3.0,3
21,609.4715,304.9754,8,8,4.0,4.0,3
23,141.80351,365.01282,6,-6,3.0,-3.0,3
24,213.9413,367.3064,6,-4,3.0,-2.0,3
25,283.89526,369.08105,6,-2,3.0,-1.0,3
26,351.96442,370.69476,6,0,3.0,0.0,3
27,418.1275,371.8337,6,2,3.0,1.0,3
28,609.107,372.12445,6,8,3.0,4.0,3
29,673.6416,371.9034,6,10,3.0,5.0,3
30,482.96606,372.86038,6,4,3.0,2.0,3
31,546.6887,372.97226,6,6,3.0,3.0,3
33,143.24086,435.16937,4,-6,2.0,-3.0,3
34,215.79155,436.9366,4,-4,2.0,-2.0,3
35,285.10544,437.9307,4,-2,2.0,-1.0,3
36,353.08444,439.06985,4,0,2.0,0.0,3
37,609.2122,438.71848,4,8,2.0,4.0,3
38,672.8143,439.0447,4,10,2.0,5.0,3
39,419.18518,439.8718,4,2,2.0,1.0,3
40,483.84958,440.1073,4,4,2.0,2.0,3
41,546.7822,440.1165,4,6,2.0,3.0,3
43,144.92719,504.95883,2,-6,1.0,-3.0,3
44,670.2124,505.42456,2,10,1.0,5.0,3
45,216.19142,506.06412,2,-4,1.0,-2.0,3
46,608.2785,506.34158,2,8,1.0,4.0,3
47,285.92657,506.7994,2,-2,1.0,-1.0,3
48,353.90414,507.132,2,0,1.0,0.0,3
49,419.30408,507.2719,2,2,1.0,1.0,3
50,483.9636,507.1134,2,4,1.0,2.0,3
51,546.82056,506.95786,2,6,1.0,3.0,3
52,607.8226,572.13617,0,8,0.0,4.0,3
53,671.2005,571.53125,0,10,0.0,5.0,3
55,545.9039,573.0979,0,6,0.0,3.0,3
56,145.87146,574.1948,0,-6,0.0,-3.0,3
57,483.09903,573.94714,0,4,0.0,2.0,3
58,217.01952,575.0597,0,-4,0.0,-2.0,3
59,285.87418,575.09814,0,-2,0.0,-1.0,3
60,353.9411,575.1871,0,0,0.0,0.0,3
61,419.18124,574.8527,0,2,0.0,1.0,3
62,669.8977,637.07697,-2,10,-1.0,5.0,3
63,606.81494,637.90247,-2,8,-1.0,4.0,3
64,544.25586,639.01276,-2,6,-1.0,3.0,3
65,482.01523,640.1992,-2,4,-1.0,2.0,3
67,352.1209,642.18524,-2,0,-1.0,0.0,3
68,418.1,641.71405,-2,2,-1.0,1.0,3
69,145.74985,642.7389,-2,-6,-1.0,-3.0,3
70,216.0254,642.9493,-2,-4,-1.0,-2.0,3
71,285.91013,642.9654,-2,-2,-1.0,-1.0,3
72,605.18506,703.2734,-4,8,-2.0,4.0,3
73,669.624,703.0635,-4,10,-2.0,5.0,3
74,543.1945,704.837,-4,6,-2.0,3.0,3
75,480.17096,706.10754,-4,4,-2.0,2.0,3
76,416.71698,707.8784,-4,2,-2.0,1.0,3
77,350.95337,708.93036,-4,0,-2.0,0.0,3
79,214.97766,710.26465,-4,-4,-2.0,-2.0,3
80,283.97974,709.8678,-4,-2,-2.0,-1.0,3
