,u,v,j,i,X,Y,Z
41,407.11386,366.26096,4,-2,2.0,-1.0,9
42,475.1651,366.1797,4,0,2.0,0.0,9
43,543.80554,366.1758,4,2,2.0,1.0,9
44,271.3198,366.89624,4,-6,2.0,-3.0,9
45,612.0556,366.79572,4,4,2.0,2.0,9
46,680.1839,367.13583,4,6,2.0,3.0,9
47,748.1132,366.8964,4,8,2.0,4.0,9
48,958.2152,367.35712,4,14,2.0,7.0,9
49,816.91364,367.99646,4,10,2.0,5.0,9
50,886.2186,368.3019,4,12,2.0,6.0,9
51,58.14531,433.32507,2,-12,1.0,-6.0,9
52,131.85999,434.2389,2,-10,1.0,-5.0,9
53,338.26627,434.28256,2,-4,1.0,-2.0,9
54,406.32715,434.11978,2,-2,1.0,-1.0,9
55,474.9818,433.89243,2,0,1.0,0.0,9
56,543.2338,434.203,2,2,1.0,1.0,9
57,202.57521,435.40973,2,-8,1.0,-4.0,9
58,271.1102,434.8189,2,-6,1.0,-3.0,9
59,612.05884,434.83386,2,4,1.0,2.0,9
60,680.7449,435.05814,2,6,1.0,3.0,9
61,748.8135,435.92514,2,8,1.0,4.0,9
62,816.07556,436.66632,2,10,1.0,5.0,9
63,885.8482,436.8594,2,12,1.0,6.0,9
64,957.1267,436.81256,2,14,1.0,7.0,9
65,58.437714,502.7533,0,-12,0.0,-6.0,9
66,131.83061,502.97144,0,-10,0.0,-5.0,9
67,201.93596,502.9971,0,-8,0.0,-4.0,9
68,270.31403,502.8588,0,-6,0.0,-3.0,9
69,338.12045,502.72717,0,-4,0.0,-2.0,9
70,406.05673,502.80347,0,-2,0.0,-1.0,9
71,474.38748,502.9071,0,0,0.0,0.0,9
72,543.13043,502.96988,0,2,0.0,1.0,9
73,611.97864,503.10422,0,4,0.0,2.0,9
74,680.70605,503.71002,0,6,0.0,3.0,9
75,748.7379,503.90927,0,8,0.0,4.0,9
76,816.8124,504.7124,0,10,0.0,5.0,9
77,885.4044,504.92908,0,12,0.0,6.0,9
78,956.3361,505.3169,0,14,0.0,7.0,9
79,131.1486,571.31287,-2,-10,-1.0,-5.0,9
80,201.1982,571.02966,-2,-8,-1.0,-4.0,9
81,270.14825,570.93774,-2,-6,-1.0,-3.0,9
82,337.9757,571.02716,-2,-4,-1.0,-2.0,9
83,406.04504,571.09906,-2,-2,-1.0,-1.0,9
84,58.198483,572.1699,-2,-12,-1.0,-6.0,9
85,474.13843,571.6809,-2,0,-1.0,0.0,9
86,543.02386,571.82135,-2,2,-1.0,1.0,9
87,611.8529,571.9753,-2,4,-1.0,2.0,9
88,680.23193,572.164,-2,6,-1.0,3.0,9
89,748.7229,572.22736,-2,8,-1.0,4.0,9
90,817.12823,572.9978,-2,10,-1.0,5.0,9
91,885.9965,573.25903,-2,12,-1.0,6.0,9
92,957.1479,574.2961,-2,14,-1.0,7.0,9
93,270.05017,639.17334,-4,-6,-2.0,-3.0,9
94,337.90732,639.2242,-4,-4,-2.0,-2.0,9
95,200.92384,639.48517,-4,-8,-2.0,-4.0,9
96,405.92313,639.8482,-4,-2,-2.0,-1.0,9
97,474.2919,640.05115,-4,0,-2.0,0.0,9
98,543.0095,640.287,-4,2,-2.0,1.0,9
99,129.35959,640.84607,-4,-10,-2.0,-5.0,9
100,611.8756,640.8337,-4,4,-2.0,2.0,9
101,680.05597,640.87,-4,6,-2.0,3.0,9
102,748.12305,640.9336,-4,8,-2.0,4.0,9
103,817.06915,641.24554,-4,10,-2.0,5.0,9
104,56.318375,642.1235,-4,-12,-2.0,-6.0,9
105,886.16754,642.0137,-4,12,-2.0,6.0,9
106,958.2903,643.8422,-4,14,-2.0,7.0,9
107,269.22543,707.9366,-6,-6,-3.0,-3.0,9
108,337.30066,707.86755,-6,-4,-3.0,-2.0,9
109,406.00397,708.125,-6,-2,-3.0,-1.0,9
110,198.76047,708.79877,-6,-8,-3.0,-4.0,9
111,474.24512,708.6465,-6,0,-3.0,0.0,9
